species	datasets	mixed_species_datasets
Homo sapiens	352	2
NA	297	41
Mus musculus (house mouse)	289	16
n/a	215	8
Human	23	0
	18	0
Canis familiaris	18	0
Homo sapiens (human)	18	1
Sus scrofa	18	3
Mus musculus	17	0
Unidentified	10	1
Arabidopsis thaliana (thale cress)	9	0
Danio rerio (zebrafish)	9	0
Equus caballus (horse)	9	1
mouse Kupffer cells	8	0
Rattus norvegicus	8	0
Bos taurus	7	0
Canis lupus familiaris	6	0
Capreolus capreolus (Roe deer)	4	0
Plasmodium falciparum	4	0
Toxoplasma gondii	4	0
Marchantia polymorpha	3	0
Oryctolagus cuniculus (rabbit)	3	0
Saccharomyces cerevisiae	3	0
Saccharomyces cerevisiae (bakers yeast)	3	1
Felis silvestris catus	2	2
Salmonella enterica serovar Typhimurium	2	0
Sus Linnaeus (Pig)	2	2
Triticum aestivum	2	0
A. halleri	1	0
Arabis alpina	1	0
Burkholderia	1	0
Capra Hircus	1	0
Escherichia coli K12	1	0
Homo_sapiens	1	0
Human immunodeficiency virus (HIV)	1	0
Melospiza melodia (Song sparrow)	1	0
Mouse	1	0
Mycobacterium bovis (strain BCG / Pasteur 1173P2)	1	0
Oryza sativa (rice)	1	0
Saccharomyces cerevisiaeNA	1	1
Staphylococcus aureus	1	0
