app	total	last_used	y2026	y2025
FastqcApp	9252	2026-08-13 09:54:43.057860	668	994
FastqScreenApp	8584	2026-08-13 09:55:08.447267	620	905
EdgeRApp	7093	2026-08-07 13:56:56.062956	249	643
DESeq2App	5755	2026-08-13 11:46:01.583536	391	1071
CountQCApp	3514	2026-08-10 17:17:36.390617	208	464
STARApp	2269	2026-08-11 17:23:00.580403	165	260
FeatureCountsApp	2034	2026-08-08 16:53:11.591248	112	205
CellRangerApp	1468	2026-08-11 10:18:22.668175	61	194
Fastqc10xApp	1313	2026-05-28 12:14:58.599436	74	178
FastqScreen10xApp	1287	2026-05-28 12:15:04.370777	74	156
RnaBamStatsApp	1282	2026-08-11 17:37:14.547998	93	122
KallistoApp	1019	2026-08-04 13:20:01.570898	96	193
Bowtie2App	839	2026-08-06 10:52:42.522855	52	88
ScSeuratApp	597	2026-08-12 08:57:19.724228	77	136
DnaBamStatsApp	409	2026-07-31 11:46:25.513968	38	44
ScSeuratCombineApp	319	2026-06-17 12:28:27.115618	47	50
CountSpacerApp	274	2026-04-17 10:19:37.041808	20	74
MpileupApp	253	2026-07-27 10:25:02.516784	25	25
SpaceRangerApp	250	2026-08-11 09:10:16.407447	51	61
CellRangerMultiApp	246	2026-07-20 10:17:58.040922	76	67
MACS2App	213	2025-03-20 12:57:32.997890	0	11
SCCountQCApp	198	2023-08-18 14:36:13.000000	0	0
VirDetectApp	188	2025-11-17 14:07:45.196117	0	22
BWAApp	180	2026-07-21 21:49:37.634132	17	17
MergeRunDataApp	175	2025-07-29 23:07:42.450488	0	13
TrimmomaticApp	169	2024-07-03 13:53:03.000000	0	0
SCCountsApp	152	2021-08-26 10:13:44.000000	0	0
CrisprScreenQCApp	152	2026-07-24 09:51:11.009747	12	38
HomerDiffPeaksApp	145	2026-01-06 08:58:25.549658	1	23
SCReportApp	142	2020-05-04 11:04:09.000000	0	0
Cov19QcApp	140	2022-11-16 09:07:41.000000	0	0
SCOneSampleApp	138	2022-02-09 12:33:17.000000	0	0
MageckTestApp	137	2026-04-10 12:17:51.622644	3	16
MageckCountApp	136	2026-08-07 16:19:27.304043	12	22
BismarkApp	133	2026-08-06 16:57:06.990603	32	24
JunctionSeqApp	122	2023-09-15 01:48:53.000000	0	0
RSEMApp	120	2022-03-28 15:51:52.000000	0	0
DnaQCApp	118	2026-06-25 13:00:18.227363	7	7
GatkJoinGenoTypesApp	117	2026-06-19 19:59:11.359278	2	5
VPipeApp	115	2023-11-21 08:59:58.000000	0	0
KrakenApp	111	2026-08-05 17:13:29.732891	32	35
CellBenderApp	101	2026-08-06 15:59:43.174818	37	59
EnaApp	97	2026-07-13 08:46:18.567855	15	34
GatkDnaHaplotyperApp	96	2026-06-19 16:18:35.892316	2	2
ExceRptApp	95	2024-07-16 11:42:44.000000	0	0
GATKv4JointGenoTypesApp	91	2023-09-12 11:47:12.000000	0	0
SCSeuratApp	91	2022-02-01 09:20:57.000000	0	0
RnaBiasApp	87	2026-08-11 16:44:43.212302	9	13
ScSeuratCompareApp	85	2026-02-16 11:24:53.507017	5	59
NcPROApp	83	2023-02-01 13:15:12.000000	0	0
ExceRptReportApp	83	2025-09-29 11:22:14.554741	0	1
TeqcApp	80	2023-08-09 15:24:45.000000	0	0
DEXSeqApp	78	2020-05-11 11:49:55.000000	0	0
FlashApp	71	2026-06-03 03:15:22.477552	12	5
MergeSCDataSetsApp	70	2025-11-29 12:29:26.851100	0	7
GATKv4FilteringSNPsByReferenceVCFApp	70	2024-01-14 16:28:07.000000	0	0
SCRNAVelocityApp	67	2020-09-05 15:56:01.000000	0	0
SCMultipleSamplesApp	66	2022-01-27 17:49:09.000000	0	0
SpatialSeuratApp	63	2025-09-04 20:36:20.880424	0	3
STARsoloApp	61	2026-04-08 10:10:00.319560	4	1
QuastApp	60	2025-09-08 11:12:31.460033	0	18
AtacENCODEApp	60	2025-11-20 12:51:20.118276	0	8
GATKv4DNAHaplotypeCallerGVCFApp	59	2023-08-22 07:51:57.000000	0	0
SCTrajectoryInferenceApp	58	2025-07-02 10:53:35.452180	0	2
SpadesApp	57	2026-04-14 09:44:28.358940	1	15
SCReportMergingApp	54	2019-06-28 13:08:12.000000	0	0
CellRangerAggrApp	54	2025-06-13 14:50:12.894313	0	1
BDRhapsodySAApp	51	2026-07-29 14:59:16.927793	1	21
ConvERDSApp	48	2023-08-21 13:51:46.000000	0	0
GatkRnaHaplotyperApp	47	2026-07-29 11:55:34.035372	14	3
NestLinkApp	44	2024-12-30 15:03:14.693165	0	0
LimmaApp	42	2026-06-09 12:51:20.944616	11	4
